storm_name,year,datetime_utc,lat,lon,status
Milton,2024,2024-10-09T06:00:00Z,23.8,-85.9,HU
Milton,2024,2024-10-09T12:00:00Z,25.0,-84.8,HU
Milton,2024,2024-10-09T18:00:00Z,26.3,-83.9,HU
Milton,2024,2024-10-10T00:00:00Z,27.2,-82.7,HU
Milton,2024,2024-10-10T00:30:00Z,27.3,-82.6,landfall
Milton,2024,2024-10-10T06:00:00Z,28.2,-81.3,HU
Milton,2024,2024-10-10T12:00:00Z,28.9,-79.5,HU
Milton,2024,2024-10-10T18:00:00Z,29.5,-77.5,TS
Milton,2024,2024-10-11T00:00:00Z,30.0,-75.0,TS
Milton,2024,2024-10-11T12:00:00Z,31.5,-70.5,Post-Tropical
Helene,2024,2024-09-24T12:00:00Z,19.4,-83.7,TS
Helene,2024,2024-09-24T18:00:00Z,19.4,-84.6,TS
Helene,2024,2024-09-25T00:00:00Z,19.8,-85.3,TS
Helene,2024,2024-09-25T06:00:00Z,20.3,-85.9,TS
Helene,2024,2024-09-25T12:00:00Z,21.1,-86.2,HU
Helene,2024,2024-09-25T18:00:00Z,22.0,-86.4,HU
Helene,2024,2024-09-26T00:00:00Z,22.8,-86.7,HU
Helene,2024,2024-09-26T06:00:00Z,23.6,-86.5,HU
Helene,2024,2024-09-26T12:00:00Z,24.7,-85.9,HU
Helene,2024,2024-09-26T18:00:00Z,26.7,-84.9,HU
Helene,2024,2024-09-27T00:00:00Z,28.7,-84.3,HU
Helene,2024,2024-09-27T03:10:00Z,30.0,-83.8,landfall
Helene,2024,2024-09-27T06:00:00Z,31.3,-83.3,HU
Helene,2024,2024-09-27T12:00:00Z,34.4,-83.2,TS
Helene,2024,2024-09-27T18:00:00Z,36.7,-84.9,TD
Helene,2024,2024-09-28T00:00:00Z,38.1,-86.6,TD
Helene,2024,2024-09-28T06:00:00Z,37.4,-88.0,Post-Tropical
Debby,2024,2024-08-02T12:00:00Z,20.3,-78.3,TD
Debby,2024,2024-08-03T00:00:00Z,21.9,-80.7,TD
Debby,2024,2024-08-03T12:00:00Z,23.3,-82.7,TS
Debby,2024,2024-08-04T00:00:00Z,24.8,-83.8,TS
Debby,2024,2024-08-04T12:00:00Z,26.5,-84.3,TS
Debby,2024,2024-08-05T00:00:00Z,28.6,-84.0,HU
Debby,2024,2024-08-05T11:00:00Z,29.7,-83.6,landfall
Ernesto,2024,2024-08-12T12:00:00Z,16.2,-60.3,TS
Ernesto,2024,2024-08-13T00:00:00Z,16.9,-62.6,TS
Ernesto,2024,2024-08-13T12:00:00Z,18.1,-64.3,TS
Ernesto,2024,2024-08-14T00:00:00Z,19.2,-65.8,TS
Ernesto,2024,2024-08-14T05:30:00Z,20.5,-66.7,HU
Ernesto,2024,2024-08-14T12:00:00Z,21.5,-67.6,HU
John,2024,2024-09-22T12:00:00Z,14.0,-98.0,TS
John,2024,2024-09-23T00:00:00Z,14.8,-98.3,TS
John,2024,2024-09-23T12:00:00Z,15.5,-98.5,HU
John,2024,2024-09-24T00:00:00Z,16.1,-98.8,HU
John,2024,2024-09-24T03:15:00Z,16.6,-98.9,landfall
John,2024,2024-09-24T12:00:00Z,17.2,-99.8,TS
John,2024,2024-09-25T00:00:00Z,17.5,-101.0,TD
John,2024,2024-09-25T12:00:00Z,16.9,-101.8,TS
John,2024,2024-09-26T00:00:00Z,17.0,-102.3,HU
John,2024,2024-09-26T12:00:00Z,17.6,-102.6,HU
John,2024,2024-09-27T00:00:00Z,18.0,-103.0,HU
John,2024,2024-09-27T12:00:00Z,18.3,-103.3,TS
John,2024,2024-09-27T18:00:00Z,18.6,-103.6,landfall
Yagi,2024,2024-09-01T00:00:00Z,13.8,124.6,TS
Yagi,2024,2024-09-01T12:00:00Z,15.2,123.0,TS
Yagi,2024,2024-09-02T00:00:00Z,16.8,122.1,TS
Yagi,2024,2024-09-02T06:00:00Z,17.6,121.5,landfall
Yagi,2024,2024-09-02T12:00:00Z,18.2,120.6,TS
Yagi,2024,2024-09-03T00:00:00Z,18.6,119.3,TS
Yagi,2024,2024-09-04T00:00:00Z,19.0,116.8,HU
Yagi,2024,2024-09-05T00:00:00Z,19.2,114.3,HU
Yagi,2024,2024-09-06T00:00:00Z,19.6,111.9,HU
Yagi,2024,2024-09-06T08:00:00Z,19.9,110.9,landfall
Yagi,2024,2024-09-07T00:00:00Z,20.6,108.5,HU
Yagi,2024,2024-09-07T10:00:00Z,20.9,106.9,landfall
Krathon,2024,2024-09-29T00:00:00Z,19.4,124.5,TS
Krathon,2024,2024-09-30T00:00:00Z,20.2,122.2,HU
Krathon,2024,2024-10-01T00:00:00Z,20.7,119.8,HU
Krathon,2024,2024-10-02T00:00:00Z,21.8,119.4,HU
Krathon,2024,2024-10-03T00:00:00Z,22.4,120.2,HU
Krathon,2024,2024-10-03T04:40:00Z,22.5,120.3,landfall
Krathon,2024,2024-10-03T12:00:00Z,22.8,120.5,TS
Krathon,2024,2024-10-04T00:00:00Z,23.3,120.6,TD
Trami,2024,2024-10-21T00:00:00Z,13.2,129.5,TS
Trami,2024,2024-10-22T00:00:00Z,14.6,126.3,TS
Trami,2024,2024-10-23T00:00:00Z,15.9,123.6,TS
Trami,2024,2024-10-23T16:30:00Z,17.2,122.3,landfall
Trami,2024,2024-10-24T00:00:00Z,17.4,120.8,TS
Trami,2024,2024-10-24T12:00:00Z,17.2,119.1,TS
Trami,2024,2024-10-25T00:00:00Z,17.3,117.2,TS
